"filename", "language", "JavaScript", "XML", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\package-lock.json", "JSON", 0, 0, 0, 17983, 0, 0, 0, 1, 17984
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\package.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 1, 43
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\App.css", "CSS", 0, 0, 632, 0, 0, 0, 9, 133, 774
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\App.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 3, 27
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\assets\logo.svg", "XML", 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\components\Constants.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 5, 109
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\components\SingleProduct.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 2, 33
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\components\cards.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 2, 33
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\components\featured.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 4, 53
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\components\footer.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\components\hero.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 2, 32
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\components\navbar.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 2, 39
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\components\pageHeader.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\index.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 3, 19
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\newsletter.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 1, 30
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\pages\About.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 2, 33
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\pages\Context.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 7, 31
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\pages\Error.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\pages\Home.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\pages\ProductDetails.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 11, 160
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\pages\Products.js", "JavaScript", 189, 0, 0, 0, 0, 0, 1, 6, 196
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\pages\SharedLayout.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\John Smilga Udemy\React 18 Tutorial and Projects Course 2023\react-projects\Comfy Sloth Project\comfy-sloth\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 827, 18, 649, 18050, 38, 20, 40, 239, 19881